id,title,company,location,salary,type,description,posted,skills
128,UI/UX Designer,Capgemini India,"Kolkata, West Bengal",$139K - $175K,Remote,"We are seeking a UI/UX Designer who can balance aesthetics with usability. You will create user flows, wireframes, and final mockups that solve complex user problems simply. This role involves constant iteration based on user feedback and data, ensuring our products are always evolving to meet user needs. Join us to make a real impact.",,"Figma, Adobe XD, User Research, Prototyping, Wireframing, Visual Design"
129,Cybersecurity Analyst,Amazon India,"Noida, Uttar Pradesh",$104K - $186K,Remote,"Ensure the integrity and confidentiality of our data across all platforms. You will design and implement security architectures, manage SIEM systems for real-time monitoring, and oversee our security compliance programs. This role requires a deep understanding of network security, encryption, and modern security operations. We offer competitive benefits and a remote-friendly culture.",,"Network Security, Penetration Testing, SIEM, Incident Response, Compliance"
130,Backend Engineer,Microsoft India,"Bengaluru, Karnataka",$97K - $168K,Remote,"Design and implement scalable backend services and APIs using Node.js and Python. Focus on data integrity, system performance, and building robust distributed systems that handle millions of requests. You will be responsible for database schema design, implementing caching strategies, and ensuring the reliability of our core services. Be part of a diverse team pushing technological boundaries.",,"Node.js, Python, PostgreSQL, Redis, Microservices, gRPC"
131,Backend Engineer,IBM India,"Hyderabad, Telangana",$101K - $193K,Full-time,"We are looking for a Backend Engineer to join our core platform team. You will build high-throughput microservices, optimize complex database queries, and implement secure authentication systems. Experience with message brokers like Kafka or Redis is a plus as you will work on event-driven architectures to process data in real-time. Join us to make a real impact.",,"Node.js, Python, PostgreSQL, Redis, Microservices, gRPC"
132,Software Engineer,Amazon India,Remote,$108K - $159K,Part-time,"We are looking for a Software Engineer who is passionate about technical excellence. You will contribute to architecture discussions, implement high-quality features, and help improve our engineering processes. Versatility and a willingness to learn new technologies are more important than deep expertise in a single stack. Experience with agile methodologies is preferred for this role.",,"Java, C++, Spring Boot, SQL, Design Patterns, Unit Testing"
133,Machine Learning Engineer,Mindtree,"Pune, Maharashtra",$144K - $178K,Part-time,"Design, build, and deploy machine learning models at scale using PyTorch or TensorFlow. Work on deep learning architectures, feature engineering, and optimizing models for production environments. You will implement MLOps practices to ensure model reproducibility and monitor performance in real-time. Looking for a self-motivated individual who loves solving complex problems.",,"PyTorch, TensorFlow, NLP, Computer Vision, MLOps, Model Deployment"
134,Cybersecurity Analyst,Amazon India,"Kolkata, West Bengal",$91K - $160K,Remote,"Join our security team to harden our applications and infrastructure against attacks. You will perform penetration testing, manage identity and access control systems, and conduct security awareness training for employees. This role involves staying ahead of the latest threat landscape and proactively implementing defense-in-depth strategies. Be part of a diverse team pushing technological boundaries.",,"Network Security, Penetration Testing, SIEM, Incident Response, Compliance"
135,Cybersecurity Analyst,HCL Technologies,"Mumbai, Maharashtra",$96K - $188K,Full-time,"Ensure the integrity and confidentiality of our data across all platforms. You will design and implement security architectures, manage SIEM systems for real-time monitoring, and oversee our security compliance programs. This role requires a deep understanding of network security, encryption, and modern security operations. Looking for a self-motivated individual who loves solving complex problems.",,"Network Security, Penetration Testing, SIEM, Incident Response, Compliance"
136,Backend Engineer,IBM India,"Jaipur, Rajasthan",$132K - $176K,Full-time,"Design and implement scalable backend services and APIs using Node.js and Python. Focus on data integrity, system performance, and building robust distributed systems that handle millions of requests. You will be responsible for database schema design, implementing caching strategies, and ensuring the reliability of our core services. Be part of a diverse team pushing technological boundaries.",,"Node.js, Python, PostgreSQL, Redis, Microservices, gRPC"
137,Product Manager,Flipkart,"Jaipur, Rajasthan",$90K - $150K,Remote,"As a Product Manager, you will be the voice of the customer. You will conduct market research, analyze user feedback, and use data to make informed product decisions. Your goal is to build products that not only solve real problems but also delight our users and drive business growth. Looking for a self-motivated individual who loves solving complex problems.",,"Agile, Product Roadmap, User Stories, Market Research, Data Analytics"
138,Full Stack Developer,IBM India,"Noida, Uttar Pradesh",$114K - $153K,Remote,"Build full-featured applications from the ground up. You will architect database schemas, develop robust backend services, and create dynamic user interfaces. Collaboration is key as you will work with product managers to translate requirements into fully functional technical solutions across all layers of the stack. Join us to make a real impact.",,"React, Node.js, MongoDB, Express.js, GraphQL, AWS"
139,Product Manager,HCL Technologies,"Hyderabad, Telangana",$138K - $164K,Remote,"Define the product vision and strategy for our core features. Work closely with engineering, design, and business teams to prioritize the roadmap and deliver maximum value to users. You will be responsible for gathering requirements, writing user stories, and managing the product lifecycle from concept to launch. We offer competitive benefits and a remote-friendly culture.",,"Agile, Product Roadmap, User Stories, Market Research, Data Analytics"
140,Backend Engineer,Reliance Digital,"Mumbai, Maharashtra",$139K - $171K,Full-time,"We are looking for a Backend Engineer to join our core platform team. You will build high-throughput microservices, optimize complex database queries, and implement secure authentication systems. Experience with message brokers like Kafka or Redis is a plus as you will work on event-driven architectures to process data in real-time. We offer competitive benefits and a remote-friendly culture.",,"Node.js, Python, PostgreSQL, Redis, Microservices, gRPC"
141,iOS Developer,Infosys,"Ahmedabad, Gujarat",$149K - $197K,Full-time,"Develop sophisticated iOS apps that our users love. You will focus on smooth animations, efficient memory management, and integrating with hardware sensors and APIs. This role involves participating in design sprints and contributing to the overall product strategy from a mobile-first perspective. Looking for a self-motivated individual who loves solving complex problems.",,"Swift, SwiftUI, Objective-C, Core Data, XCode, iOS SDK"
142,Machine Learning Engineer,L&T Infotech,"Pune, Maharashtra",$97K - $200K,Part-time,"Design, build, and deploy machine learning models at scale using PyTorch or TensorFlow. Work on deep learning architectures, feature engineering, and optimizing models for production environments. You will implement MLOps practices to ensure model reproducibility and monitor performance in real-time. Be part of a diverse team pushing technological boundaries.",,"PyTorch, TensorFlow, NLP, Computer Vision, MLOps, Model Deployment"
143,Product Manager,Google India,"Hyderabad, Telangana",$140K - $165K,Part-time,"As a Product Manager, you will be the voice of the customer. You will conduct market research, analyze user feedback, and use data to make informed product decisions. Your goal is to build products that not only solve real problems but also delight our users and drive business growth. Join us to make a real impact.",,"Agile, Product Roadmap, User Stories, Market Research, Data Analytics"
144,Business Analyst,Amazon India,"Noida, Uttar Pradesh",$90K - $157K,Remote,"Help us optimize our operations through data-driven analysis. You will identify areas for process improvement, develop business cases for new initiatives, and measure the impact of our technical solutions. This role requires a deep understanding of our business domain and the ability to use data to drive strategic decisions. Join us to make a real impact.",,"SQL, Tableau, Excel, Requirement Gathering, Process Improvement"
145,iOS Developer,Google India,"Gurugram, Haryana",$106K - $176K,Part-time,"Build premium iOS applications for iPhone and iPad using Swift and SwiftUI. Focus on elegant code, Apple's Human Interface Guidelines, and integrating with advanced iOS features like Widgets and Core ML. You will ensure our apps are responsive, accessible, and take full advantage of the latest iOS capabilities. Experience with agile methodologies is preferred for this role.",,"Swift, SwiftUI, Objective-C, Core Data, XCode, iOS SDK"
146,Mobile App Developer,Tata Consultancy Services,"Hyderabad, Telangana",$119K - $185K,Remote,"Join our mobile team to create engaging user experiences on smartphones and tablets. You will build feature-rich applications, implement offline sync capabilities, and ensure our mobile products are stable and secure. Experience with mobile CI/CD and publishing to App Store and Google Play is required. Be part of a diverse team pushing technological boundaries.",,"React Native, Flutter, Firebase, Mobile UI Design, App Store Optimization"
147,DevOps Engineer,Amazon India,"Noida, Uttar Pradesh",$97K - $188K,Remote,"Join our DevOps team to build and maintain the foundations of our software delivery platform. You will focus on building automated testing environments, implementing centralized logging and tracing, and ensuring our developer experience is world-class through efficient tooling and automation. Join us to make a real impact.",,"AWS, Docker, Kubernetes, Terraform, Jenkins, Monitoring"
148,Mobile App Developer,Wipro,"Jaipur, Rajasthan",$143K - $196K,Part-time,"Develop high-quality mobile applications for both iOS and Android platforms using React Native or Flutter. Focus on performance, smooth animations, and delivering a native-like experience. You will be responsible for integrating with native APIs and ensuring our apps are optimized for a wide range of devices. Looking for a self-motivated individual who loves solving complex problems.",,"React Native, Flutter, Firebase, Mobile UI Design, App Store Optimization"
149,Mobile App Developer,HCL Technologies,Remote,$141K - $173K,Remote,"Join our mobile team to create engaging user experiences on smartphones and tablets. You will build feature-rich applications, implement offline sync capabilities, and ensure our mobile products are stable and secure. Experience with mobile CI/CD and publishing to App Store and Google Play is required. Experience with agile methodologies is preferred for this role.",,"React Native, Flutter, Firebase, Mobile UI Design, App Store Optimization"
150,Backend Engineer,Tech Mahindra,"Chennai, Tamil Nadu",$105K - $170K,Full-time,"Architect and maintain the server-side logic of our cloud-based platforms. You will focus on building RESTful and gRPC APIs, managing relational and NoSQL databases, and ensuring high availability across multiple regions. This role involves deep dives into system performance tuning and implementing comprehensive monitoring solutions. Experience with agile methodologies is preferred for this role.",,"Node.js, Python, PostgreSQL, Redis, Microservices, gRPC"
151,Cybersecurity Analyst,IBM India,"Kolkata, West Bengal",$119K - $161K,Full-time,"Protect the organization's digital assets from internal and external threats. Monitor for security breaches, conduct vulnerability assessments using industry-standard tools, and implement robust security protocols. You will be responsible for incident response and ensuring that our systems comply with security standards and regulations. Join us to make a real impact.",,"Network Security, Penetration Testing, SIEM, Incident Response, Compliance"
152,Cybersecurity Analyst,Wipro,"Noida, Uttar Pradesh",$138K - $155K,Remote,"Join our security team to harden our applications and infrastructure against attacks. You will perform penetration testing, manage identity and access control systems, and conduct security awareness training for employees. This role involves staying ahead of the latest threat landscape and proactively implementing defense-in-depth strategies. Join us to make a real impact.",,"Network Security, Penetration Testing, SIEM, Incident Response, Compliance"
153,Product Manager,Capgemini India,"Hyderabad, Telangana",$125K - $189K,Remote,"Lead cross-functional teams to build and ship impactful features. You will manage stakeholders, navigate technical constraints, and ensure that our products are aligned with the overall company strategy. This role requires strong leadership, excellent communication, and a deep understanding of the agile development process. Be part of a diverse team pushing technological boundaries.",,"Agile, Product Roadmap, User Stories, Market Research, Data Analytics"
154,UI/UX Designer,Microsoft India,"Ahmedabad, Gujarat",$116K - $153K,Part-time,"Design intuitive and beautiful user experiences for our web and mobile applications. Conduct user research, create high-fidelity prototypes in Figma, and collaborate with developers to ensure faithful implementation of your designs. You will define the visual language and interaction patterns for our entire product suite. Looking for a self-motivated individual who loves solving complex problems.",,"Figma, Adobe XD, User Research, Prototyping, Wireframing, Visual Design"
155,Software Engineer,Amazon India,"Bengaluru, Karnataka",$107K - $177K,Remote,"Join our engineering team to solve complex technical challenges. You will apply software design patterns to build reusable libraries and ensure the long-term maintainability of our codebase. This role requires strong problem-solving skills and the ability to work effectively in a collaborative, agile environment. Join us to make a real impact.",,"Java, C++, Spring Boot, SQL, Design Patterns, Unit Testing"
156,Software Engineer,Capgemini India,"Hyderabad, Telangana",$85K - $184K,Part-time,"We are looking for a Software Engineer who is passionate about technical excellence. You will contribute to architecture discussions, implement high-quality features, and help improve our engineering processes. Versatility and a willingness to learn new technologies are more important than deep expertise in a single stack. We offer competitive benefits and a remote-friendly culture.",,"Java, C++, Spring Boot, SQL, Design Patterns, Unit Testing"
157,Senior Frontend Developer,Google India,"Bengaluru, Karnataka",$122K - $178K,Full-time,"Lead the development of high-performance user interfaces using modern React ecosystems. Responsibilities include architecting frontend solutions, mentoring junior developers, and ensuring seamless UX across all devices. You will work closely with design teams to implement pixel-perfect components and optimize web performance for millions of global users. Join us to make a real impact.",,"React, TypeScript, Next.js, Tailwind CSS, Redux, Web Performance"
158,Machine Learning Engineer,L&T Infotech,"Hyderabad, Telangana",$148K - $177K,Part-time,"As an ML Engineer, you will bridge the gap between research and production. You will take prototype models and turn them into scalable, high-performance services. This involves optimizing inference latency, managing large datasets for training, and building automated retraining pipelines. We offer competitive benefits and a remote-friendly culture.",,"PyTorch, TensorFlow, NLP, Computer Vision, MLOps, Model Deployment"
159,Android Developer,Tech Mahindra,"Mumbai, Maharashtra",$137K - $164K,Remote,"Join our mobile team to build engaging Android products that reach millions of users. You will work on feature-rich apps, optimize app startup times and battery usage, and ensure compatibility across a wide range of devices and OS versions. This role involves collaborating with product and design teams to deliver polished, user-centric features. Looking for a self-motivated individual who loves solving complex problems.",,"Kotlin, Java, Jetpack Compose, Android SDK, Retrofit, Coroutines"
160,Senior Frontend Developer,Capgemini India,"Kolkata, West Bengal",$95K - $194K,Part-time,"Lead the development of high-performance user interfaces using modern React ecosystems. Responsibilities include architecting frontend solutions, mentoring junior developers, and ensuring seamless UX across all devices. You will work closely with design teams to implement pixel-perfect components and optimize web performance for millions of global users. Join us to make a real impact.",,"React, TypeScript, Next.js, Tailwind CSS, Redux, Web Performance"
161,Software Engineer,Cognizant India,"Mumbai, Maharashtra",$109K - $163K,Full-time,"Join our engineering team to solve complex technical challenges. You will apply software design patterns to build reusable libraries and ensure the long-term maintainability of our codebase. This role requires strong problem-solving skills and the ability to work effectively in a collaborative, agile environment. Be part of a diverse team pushing technological boundaries.",,"Java, C++, Spring Boot, SQL, Design Patterns, Unit Testing"
162,Business Analyst,Infosys,"Hyderabad, Telangana",$124K - $185K,Part-time,"Help us optimize our operations through data-driven analysis. You will identify areas for process improvement, develop business cases for new initiatives, and measure the impact of our technical solutions. This role requires a deep understanding of our business domain and the ability to use data to drive strategic decisions. Be part of a diverse team pushing technological boundaries.",,"SQL, Tableau, Excel, Requirement Gathering, Process Improvement"
163,iOS Developer,Cognizant India,"Gurugram, Haryana",$145K - $193K,Remote,"Build premium iOS applications for iPhone and iPad using Swift and SwiftUI. Focus on elegant code, Apple's Human Interface Guidelines, and integrating with advanced iOS features like Widgets and Core ML. You will ensure our apps are responsive, accessible, and take full advantage of the latest iOS capabilities. Experience with agile methodologies is preferred for this role.",,"Swift, SwiftUI, Objective-C, Core Data, XCode, iOS SDK"
164,iOS Developer,Infosys,"Kolkata, West Bengal",$147K - $180K,Part-time,"We are seeking an iOS expert to lead our mobile development efforts on Apple platforms. You will architect complex apps using modern patterns like MVVM, manage data persistence with Core Data, and ensure seamless networking. A passion for detail and a commitment to providing a world-class user experience are required. Be part of a diverse team pushing technological boundaries.",,"Swift, SwiftUI, Objective-C, Core Data, XCode, iOS SDK"
165,Machine Learning Engineer,Amazon India,"Mumbai, Maharashtra",$133K - $188K,Remote,Join our AI team to solve challenging problems in computer vision and NLP. You will research state-of-the-art algorithms and adapt them to our specific use cases. The role requires strong software engineering skills to integrate ML models into our existing software ecosystem while ensuring scalability and reliability. Experience with agile methodologies is preferred for this role.,,"PyTorch, TensorFlow, NLP, Computer Vision, MLOps, Model Deployment"
166,Product Manager,Cognizant India,"Kolkata, West Bengal",$106K - $189K,Full-time,"Define the product vision and strategy for our core features. Work closely with engineering, design, and business teams to prioritize the roadmap and deliver maximum value to users. You will be responsible for gathering requirements, writing user stories, and managing the product lifecycle from concept to launch. Experience with agile methodologies is preferred for this role.",,"Agile, Product Roadmap, User Stories, Market Research, Data Analytics"
167,Full Stack Developer,Reliance Digital,"Ahmedabad, Gujarat",$83K - $179K,Full-time,"We are seeking a Full Stack Developer to build modern web solutions. You will work on both the client and server sides, implementing responsive designs and scalable API services. This role requires versatility and the ability to switch contexts quickly while maintaining high code quality and architectural integrity. Join us to make a real impact.",,"React, Node.js, MongoDB, Express.js, GraphQL, AWS"
168,QA Engineer,Wipro,"Ahmedabad, Gujarat",$96K - $183K,Remote,"Lead our quality assurance efforts to deliver bug-free software to our customers. You will design test plans, manage test data, and integrate testing into our CI/CD pipelines. This role requires a meticulous eye for detail and the ability to think like a user to identify edge cases and potential failure points. Experience with agile methodologies is preferred for this role.",,"Selenium, Cypress, Jest, Manual Testing, API Testing, Load Testing"
169,Cybersecurity Analyst,Wipro,"Gurugram, Haryana",$140K - $180K,Full-time,"Protect the organization's digital assets from internal and external threats. Monitor for security breaches, conduct vulnerability assessments using industry-standard tools, and implement robust security protocols. You will be responsible for incident response and ensuring that our systems comply with security standards and regulations. Join us to make a real impact.",,"Network Security, Penetration Testing, SIEM, Incident Response, Compliance"
170,UI/UX Designer,Infosys,"Gurugram, Haryana",$146K - $199K,Remote,"We are seeking a UI/UX Designer who can balance aesthetics with usability. You will create user flows, wireframes, and final mockups that solve complex user problems simply. This role involves constant iteration based on user feedback and data, ensuring our products are always evolving to meet user needs. Looking for a self-motivated individual who loves solving complex problems.",,"Figma, Adobe XD, User Research, Prototyping, Wireframing, Visual Design"
171,Android Developer,IBM India,"Mumbai, Maharashtra",$134K - $152K,Part-time,"Join our mobile team to build engaging Android products that reach millions of users. You will work on feature-rich apps, optimize app startup times and battery usage, and ensure compatibility across a wide range of devices and OS versions. This role involves collaborating with product and design teams to deliver polished, user-centric features. Experience with agile methodologies is preferred for this role.",,"Kotlin, Java, Jetpack Compose, Android SDK, Retrofit, Coroutines"
172,iOS Developer,Flipkart,"Kolkata, West Bengal",$113K - $155K,Remote,"Build premium iOS applications for iPhone and iPad using Swift and SwiftUI. Focus on elegant code, Apple's Human Interface Guidelines, and integrating with advanced iOS features like Widgets and Core ML. You will ensure our apps are responsive, accessible, and take full advantage of the latest iOS capabilities. Experience with agile methodologies is preferred for this role.",,"Swift, SwiftUI, Objective-C, Core Data, XCode, iOS SDK"
173,Android Developer,IBM India,"Jaipur, Rajasthan",$93K - $197K,Remote,"We are seeking an Android enthusiast to build high-performance mobile apps. You will use the latest Android SDK features, implement reactive programming patterns with Coroutines and Flow, and ensure our apps are responsive and stable. Experience with modular architecture and automated testing on Android is a plus. Be part of a diverse team pushing technological boundaries.",,"Kotlin, Java, Jetpack Compose, Android SDK, Retrofit, Coroutines"
174,Mobile App Developer,Flipkart,"Hyderabad, Telangana",$125K - $179K,Part-time,"Architect and build cross-platform mobile solutions that delight users. You will focus on pixel-perfect UI implementation, optimizing app startup times, and managing complex application states. This role involves working closely with UX designers to push the boundaries of mobile interaction design. Looking for a self-motivated individual who loves solving complex problems.",,"React Native, Flutter, Firebase, Mobile UI Design, App Store Optimization"
175,Backend Engineer,IBM India,"Bengaluru, Karnataka",$146K - $186K,Full-time,"Design and implement scalable backend services and APIs using Node.js and Python. Focus on data integrity, system performance, and building robust distributed systems that handle millions of requests. You will be responsible for database schema design, implementing caching strategies, and ensuring the reliability of our core services. Looking for a self-motivated individual who loves solving complex problems.",,"Node.js, Python, PostgreSQL, Redis, Microservices, gRPC"
176,Cybersecurity Analyst,IBM India,"Ahmedabad, Gujarat",$124K - $172K,Remote,"Join our security team to harden our applications and infrastructure against attacks. You will perform penetration testing, manage identity and access control systems, and conduct security awareness training for employees. This role involves staying ahead of the latest threat landscape and proactively implementing defense-in-depth strategies. Join us to make a real impact.",,"Network Security, Penetration Testing, SIEM, Incident Response, Compliance"
177,Android Developer,Wipro,"Bengaluru, Karnataka",$133K - $159K,Full-time,"Join our mobile team to build engaging Android products that reach millions of users. You will work on feature-rich apps, optimize app startup times and battery usage, and ensure compatibility across a wide range of devices and OS versions. This role involves collaborating with product and design teams to deliver polished, user-centric features. Be part of a diverse team pushing technological boundaries.",,"Kotlin, Java, Jetpack Compose, Android SDK, Retrofit, Coroutines"
178,Business Analyst,Tata Consultancy Services,"Noida, Uttar Pradesh",$133K - $183K,Part-time,"Bridge the gap between business needs and technical solutions. Analyze business processes, gather detailed requirements, and provide data-backed recommendations to improve efficiency. You will work with stakeholders across the company to ensure that our technical projects are aligned with business objectives. Experience with agile methodologies is preferred for this role.",,"SQL, Tableau, Excel, Requirement Gathering, Process Improvement"
179,Mobile App Developer,Flipkart,"Bengaluru, Karnataka",$97K - $170K,Full-time,"Join our mobile team to create engaging user experiences on smartphones and tablets. You will build feature-rich applications, implement offline sync capabilities, and ensure our mobile products are stable and secure. Experience with mobile CI/CD and publishing to App Store and Google Play is required. Looking for a self-motivated individual who loves solving complex problems.",,"React Native, Flutter, Firebase, Mobile UI Design, App Store Optimization"
180,Android Developer,Tech Mahindra,"Noida, Uttar Pradesh",$120K - $173K,Remote,"Join our mobile team to build engaging Android products that reach millions of users. You will work on feature-rich apps, optimize app startup times and battery usage, and ensure compatibility across a wide range of devices and OS versions. This role involves collaborating with product and design teams to deliver polished, user-centric features. We offer competitive benefits and a remote-friendly culture.",,"Kotlin, Java, Jetpack Compose, Android SDK, Retrofit, Coroutines"
181,Mobile App Developer,Wipro,"Kolkata, West Bengal",$92K - $179K,Remote,"Develop high-quality mobile applications for both iOS and Android platforms using React Native or Flutter. Focus on performance, smooth animations, and delivering a native-like experience. You will be responsible for integrating with native APIs and ensuring our apps are optimized for a wide range of devices. Experience with agile methodologies is preferred for this role.",,"React Native, Flutter, Firebase, Mobile UI Design, App Store Optimization"
182,Senior Frontend Developer,Tech Mahindra,"Kolkata, West Bengal",$83K - $194K,Part-time,"As a Senior Frontend Developer, you will drive the technical direction of our client-side applications. We are looking for an expert in React and TypeScript who can build scalable architectures and lead complex feature implementations. You will be responsible for setting coding standards, performing code reviews, and collaborating with backend engineers to define efficient API contracts. We offer competitive benefits and a remote-friendly culture.",,"React, TypeScript, Next.js, Tailwind CSS, Redux, Web Performance"
183,Business Analyst,IBM India,"Noida, Uttar Pradesh",$89K - $173K,Full-time,"Help us optimize our operations through data-driven analysis. You will identify areas for process improvement, develop business cases for new initiatives, and measure the impact of our technical solutions. This role requires a deep understanding of our business domain and the ability to use data to drive strategic decisions. We offer competitive benefits and a remote-friendly culture.",,"SQL, Tableau, Excel, Requirement Gathering, Process Improvement"
184,UI/UX Designer,IBM India,"Chennai, Tamil Nadu",$109K - $168K,Full-time,"Design intuitive and beautiful user experiences for our web and mobile applications. Conduct user research, create high-fidelity prototypes in Figma, and collaborate with developers to ensure faithful implementation of your designs. You will define the visual language and interaction patterns for our entire product suite. Join us to make a real impact.",,"Figma, Adobe XD, User Research, Prototyping, Wireframing, Visual Design"
185,Android Developer,L&T Infotech,"Chennai, Tamil Nadu",$136K - $167K,Part-time,"We are seeking an Android enthusiast to build high-performance mobile apps. You will use the latest Android SDK features, implement reactive programming patterns with Coroutines and Flow, and ensure our apps are responsive and stable. Experience with modular architecture and automated testing on Android is a plus. We offer competitive benefits and a remote-friendly culture.",,"Kotlin, Java, Jetpack Compose, Android SDK, Retrofit, Coroutines"
186,Machine Learning Engineer,Tech Mahindra,"Noida, Uttar Pradesh",$125K - $162K,Remote,Join our AI team to solve challenging problems in computer vision and NLP. You will research state-of-the-art algorithms and adapt them to our specific use cases. The role requires strong software engineering skills to integrate ML models into our existing software ecosystem while ensuring scalability and reliability. Be part of a diverse team pushing technological boundaries.,,"PyTorch, TensorFlow, NLP, Computer Vision, MLOps, Model Deployment"
187,QA Engineer,L&T Infotech,Remote,$93K - $153K,Part-time,"Ensure the highest quality of software products through comprehensive automated and manual testing. Develop automated test suites using Selenium or Cypress, perform regression testing, and track bug reports from identification to resolution. You will be the advocate for quality throughout the development process. Experience with agile methodologies is preferred for this role.",,"Selenium, Cypress, Jest, Manual Testing, API Testing, Load Testing"
188,Business Analyst,Wipro,"Gurugram, Haryana",$86K - $191K,Remote,"As a Business Analyst, you will translate complex business problems into clear technical requirements. You will create process maps, conduct cost-benefit analyses, and work with development teams to ensure successful project delivery. Strong analytical skills and the ability to communicate with both technical and non-technical audiences are key. Looking for a self-motivated individual who loves solving complex problems.",,"SQL, Tableau, Excel, Requirement Gathering, Process Improvement"
189,Backend Engineer,Flipkart,"Bengaluru, Karnataka",$114K - $165K,Full-time,"Architect and maintain the server-side logic of our cloud-based platforms. You will focus on building RESTful and gRPC APIs, managing relational and NoSQL databases, and ensuring high availability across multiple regions. This role involves deep dives into system performance tuning and implementing comprehensive monitoring solutions. Join us to make a real impact.",,"Node.js, Python, PostgreSQL, Redis, Microservices, gRPC"
190,Android Developer,HCL Technologies,"Chennai, Tamil Nadu",$81K - $183K,Part-time,"Develop robust Android applications using Kotlin and modern Jetpack components. Focus on performance, memory management, and implementing Material Design principles to create a premium user experience. You will be responsible for the entire development lifecycle, from UI implementation to integrating with backend APIs. Join us to make a real impact.",,"Kotlin, Java, Jetpack Compose, Android SDK, Retrofit, Coroutines"
191,Cloud Architect,Amazon India,"Gurugram, Haryana",$122K - $181K,Full-time,"We are looking for a Cloud Architect to define our global infrastructure strategy. You will design serverless architectures, implement complex networking solutions, and ensure that our platform is highly available across multiple regions. This role involves mentoring engineering teams on cloud-native development patterns. Join us to make a real impact.",,"AWS, Azure, Cloud Security, Serverless, Infrastructure as Code"
192,Mobile App Developer,Cognizant India,"Jaipur, Rajasthan",$113K - $167K,Part-time,"Architect and build cross-platform mobile solutions that delight users. You will focus on pixel-perfect UI implementation, optimizing app startup times, and managing complex application states. This role involves working closely with UX designers to push the boundaries of mobile interaction design. We offer competitive benefits and a remote-friendly culture.",,"React Native, Flutter, Firebase, Mobile UI Design, App Store Optimization"
193,DevOps Engineer,L&T Infotech,"Hyderabad, Telangana",$98K - $153K,Remote,"Automate infrastructure deployment and management using AWS, Docker, and Kubernetes. Ensure system reliability, scalability, and security through robust CI/CD pipelines and cloud-native practices. You will be responsible for monitoring system health and responding to incidents in our production environment. Experience with agile methodologies is preferred for this role.",,"AWS, Docker, Kubernetes, Terraform, Jenkins, Monitoring"
194,Android Developer,Google India,"Gurugram, Haryana",$117K - $179K,Part-time,"We are seeking an Android enthusiast to build high-performance mobile apps. You will use the latest Android SDK features, implement reactive programming patterns with Coroutines and Flow, and ensure our apps are responsive and stable. Experience with modular architecture and automated testing on Android is a plus. Join us to make a real impact.",,"Kotlin, Java, Jetpack Compose, Android SDK, Retrofit, Coroutines"
195,Senior Frontend Developer,IBM India,"Chennai, Tamil Nadu",$119K - $188K,Part-time,"Join our engineering team to build the next generation of web interfaces. You will focus on building reusable component libraries, implementing advanced state management patterns, and ensuring our applications are accessible and performant. This role requires a deep understanding of browser internals and modern CSS techniques to deliver a premium user experience. We offer competitive benefits and a remote-friendly culture.",,"React, TypeScript, Next.js, Tailwind CSS, Redux, Web Performance"
196,Software Engineer,Capgemini India,"Ahmedabad, Gujarat",$146K - $150K,Remote,"Generalist software engineering role focusing on writing clean, maintainable, and efficient code in Java or C++. Participate in the full software development lifecycle from requirements to deployment. You will work on a variety of projects, from core business logic to internal tools and infrastructure components. Experience with agile methodologies is preferred for this role.",,"Java, C++, Spring Boot, SQL, Design Patterns, Unit Testing"
197,Machine Learning Engineer,HCL Technologies,"Bengaluru, Karnataka",$146K - $155K,Full-time,"As an ML Engineer, you will bridge the gap between research and production. You will take prototype models and turn them into scalable, high-performance services. This involves optimizing inference latency, managing large datasets for training, and building automated retraining pipelines. Join us to make a real impact.",,"PyTorch, TensorFlow, NLP, Computer Vision, MLOps, Model Deployment"
198,Machine Learning Engineer,Reliance Digital,"Ahmedabad, Gujarat",$95K - $171K,Part-time,Join our AI team to solve challenging problems in computer vision and NLP. You will research state-of-the-art algorithms and adapt them to our specific use cases. The role requires strong software engineering skills to integrate ML models into our existing software ecosystem while ensuring scalability and reliability. Looking for a self-motivated individual who loves solving complex problems.,,"PyTorch, TensorFlow, NLP, Computer Vision, MLOps, Model Deployment"
199,Cybersecurity Analyst,L&T Infotech,"Bengaluru, Karnataka",$141K - $179K,Full-time,"Protect the organization's digital assets from internal and external threats. Monitor for security breaches, conduct vulnerability assessments using industry-standard tools, and implement robust security protocols. You will be responsible for incident response and ensuring that our systems comply with security standards and regulations. We offer competitive benefits and a remote-friendly culture.",,"Network Security, Penetration Testing, SIEM, Incident Response, Compliance"
200,DevOps Engineer,Tech Mahindra,"Gurugram, Haryana",$124K - $182K,Remote,"Lead our infrastructure automation efforts to achieve high availability and rapid deployment cycles. You will design and implement infrastructure as code using Terraform, manage container orchestration platforms, and optimize our cloud spending. Experience with security hardening and compliance in the cloud is essential. Looking for a self-motivated individual who loves solving complex problems.",,"AWS, Docker, Kubernetes, Terraform, Jenkins, Monitoring"
201,Business Analyst,Flipkart,"Gurugram, Haryana",$132K - $194K,Part-time,"Help us optimize our operations through data-driven analysis. You will identify areas for process improvement, develop business cases for new initiatives, and measure the impact of our technical solutions. This role requires a deep understanding of our business domain and the ability to use data to drive strategic decisions. Be part of a diverse team pushing technological boundaries.",,"SQL, Tableau, Excel, Requirement Gathering, Process Improvement"
